"Part";"Value";"Device";"Package";"Description";"";
"ANALOGSIDE";"M13";"M13";"1X13";"13-pin single row .1" header";"";
"ANT";"";"HEADER-1X1ROUND";"1X01_ROUND";"PIN HEADER";"";
"C1";"0.1";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";
"C2";"0.1";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";
"C3";"0.1";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";
"C4";"0.1";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";
"C5";"10";"CPOL-EUE1.8-4";"E1,8-4";"POLARIZED CAPACITOR, European symbol";"";
"DIGITALSIDE";"M13";"M13";"1X13";"13-pin single row .1" header";"";
"FTDI";"FTDI";"MA06-1";"MA06-1";"PIN HEADER";"";
"IC1";"ATMEGA";"ATMEGA48/88/168-PU";"DIL28-3";"";"";
"IC2";"MCP1702-33";"MCP1702Z";"TO92";"200 mA, Low Power Low Dropout Voltage Regulator";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP2";"M01PTH";"M01PTH";"1X01";"Header 1";"";
"LED";"";"LED3MM";"LED3MM";"LED";"";
"R1";"10k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"R2";"10k";"R-EU_0204/7";"0204/7";"RESISTOR, European symbol";"";
"U4";"";"RFM69HCW_SMT";"RFMHCW_SMT";"RFM69HCW - ISM Band RF Transceiver";"";
"X1";"16 MHz";"RESONATORPTH";"RESONATOR-PTH";"Resonator";"";
"X2";"uFL";"ANTENNA_U.FL";"U.FL";"U.FL Antenna Connector";"";
"X3";"JSTPH";"CON_JST_PH_2PIN";"JSTPH2";"JST 2-Pin Right-Angle Connector";"";
